title,creator,extent,issued,material_type
視覚障害教育の歴史・現状・課題 : 職業教育・進路保障と地域支援の充実を願って,"久松, 寅幸, 1951-",['304p ; 26cm'],2012,['図書']
視覚障害教育の歴史・現状・課題 職業教育・進路保障と地域支援の充実を願って,"久松, 寅幸, 1951-",['5冊 ; 27cm'],2012,['図書']
障害者の国際人権保障 : その歴史と課題,"川島, 聡",['1冊'],2005,['博士論文']
社会は障害のある人たちに何を期待しているか : 生涯学習実践から知的能力をめぐる問題を考える,"西村, 愛",['173p ; 19cm'],2014,['図書']
挑戦こそわが生命 : 視覚障害者たちの挑戦史 : 歴史エッセイ,"谷合, 侑, 1932-",['293p ; 21cm'],2006,['図書']
難聴 : 知られざる人間風景,"津名, 道代, 1933-",['260p ; 21cm'],2005,['図書']
国民皆介護 : 障害者自立支援法の成立,"京極, 高宣, 1942-",['181p ; 21cm'],2005,['図書']
忘れられた歴史はくり返す : 障害のある人が戦場に行った時代,"秋元, 波留夫, 1906-2007",['86p ; 21cm'],2006,['図書']
戦前戦後障害者運動史年表 : 戦前戦後障害者運動と関係法制,"杉本, 章, 1938-",['120p ; 26cm'],2001,['図書']
障害走,,['ビデオディスク 1枚 : DVD'],,"['映像資料', 'DVD']"
障害児教育学原論考 : 私家版,"藤井, 力夫, 1946-",['1004p ; 31cm'],2004,['図書']
知的障害養護学校における音楽科教育成立史研究,"藤原, 志帆",['1冊'],2005,['博士論文']
視覚障害教育の歴史・現状・課題 職業教育・進路保障と地域支援の充実を願って,"久松, 寅幸, 1951-",['CD-ROM 1枚 ; 12cm'],,"['電子資料', 'DVD・CD']"
岩手県障害児教育史資料,"中山, 文雄, 1937-",['112p ; 26cm'],2001,['図書']
近世障害者生活史の研究,"原田, 信一",['1冊'],2001,['博士論文']
清掃作業者のダイオキシン曝露による発癌リスク及び生殖障害に係る歴史的コホート研究,"毛利, 一平",['132p'],"2002, 2005",['図書']
リーディングス日本の社会福祉,"岩田, 正美, 1947-",['434p ; 22cm'],2011,['図書']
障害者社会史研究の地平を拓く : 故加藤康昭先生の生涯と業績,,['92p ; 30cm'],2004,['図書']
盲・聾分離をめざした苦闘・90年 : 第84回全日本盲学校教育研究大会研究発表 : 視覚障害教育の今後を考えるための史資料集,"岸, 博実, 1949-",['68p ; 30cm'],2009,"['図書', '政府刊行物', '地方公共団体刊行物']"
歴史と文化に見る身体障害者,"松尾, 智, 1957-",['210p ; 20cm'],2000,['図書']
障害者問題史研究紀要,精神薄弱問題史研究会,['冊 ; 26cm'],"1988, 2005",['雑誌']
特別支援教育の研究 : 重症心身障害児施設砂子療育園における医学・療育及び教育実践,"下川, 仁夫, 1951-",['349p ; 22cm'],2009,['図書']
日本知的障害教育学史の研究-明治期の近代化と欧米知的障害理論の受容・定着-,"高橋, 智, 1954-",['冊'],"2000, 2001",['図書']
発達障害児教育実践史研究 : 戦前の北海道における特別教育の成立と教育理念・目標・内容・方法,"市澤, 豊",['397p ; 22cm'],2006,['図書']
茨城県障害児教育史の研究,"船橋, 秀彦, 1955-",['223p ; 21cm'],1997,['図書']
地域で生きる : 自立をめざす重度障害者の自分史から,AJU自立の家,['209p ; 21cm'],2001,['図書']
日本の障害者雇用 : その歴史・現状・課題,"手塚, 直樹, 1933-",['338p ; 22cm'],2000,['図書']
言語障害児教育のあすを考える : 言語障害・難聴通級指導教室のルーツをさぐり、日本言語障害児教育研究会の歩みをたどる史料,"大熊, 喜代松, 1926-",['220p ; 26cm'],1997,['図書']
城戸幡太郎と日本の障害者教育科学 : 障害児教育における「近代化」と「現代化」の歴史的位相,"高橋, 智, 1954-","['694, 8p ; 22cm']",1998,['図書']
視覚障害者のための医学典籍講読法の開発と鍼灸・手技療法の歴史的考察,"和久田, 哲司",['60p'],"2001, 2003",['図書']
日本の障害者 : その文化史的側面,"花田, 春兆, 1925-2017",['258p ; 21cm'],1997,['図書']
日本の障害者の歴史 : 近世篇,"生瀬, 克己, 1942-2008",['269p ; 22cm'],1999,['図書']
近世障害者関係史料集成,"生瀬, 克己, 1942-2008",['806p ; 22cm'],1996,['図書']
城戸幡太郎の教育科学と障害児教育理論の研究 : 障害児教育における「近代化」と「現代化」の歴史的位相,"高橋, 智, 1954-",,,['博士論文']
語り継ぐトランスジェンダー史 : 性同一性障害の現在・過去・未来,"虎井, まさ衛, 1963-",['221p ; 19cm'],2003,['図書']
アメリカ合衆国障害児学校史の研究,"中村, 満紀男",['カセット 32巻'],1998,"['録音資料', 'カセットテープ']"
東京の知的障害児教育概説 : 戦後創設期編,"富岡, 達夫, 1928-",['382p ; 22cm'],2001,['図書']
ロシア障害児教育史の研究,"渡辺, 健治, 1948-",['375p ; 22cm'],1996,['図書']
歴史の中の障害者 : 盲人のあゆみ,,['16p ; 30cm'],1996,"['図書', '政府刊行物', '地方公共団体刊行物']"
京都障害者歴史散歩,"藤本, 文朗, 1935-",['181p ; 19cm'],1994,['図書']
教育実践でつづる知的障害教育方法史 : 教育方法の展開と探究,全日本特別支援教育研究連盟,['266p ; 21cm'],2002,['図書']
紙の機関車 : 日聴紙物語 : ろう者の人権を守り、連帯を深めてきた日本聴力障害新聞。その波瀾に満ちた歴史を今、ふり返る。,日本聴力障害新聞編集部,['55p ; 26cm'],2003,['図書']
特別な困難をもつ子どもたちと教育の社会化,,['216p ; 21cm'],2006,['図書']
前立腺肥大症の自然史と排尿障害の関係,"北川, 憲一",,,['博士論文']
摂食障害の臨床精神医学的研究 : 生活史上の家族内外傷体験に焦点づけた精神療法的関与,"駒井, 秀次",,,['博士論文']
アメリカ公教育制度における障害児の教育保障に関する歴史的研究,"安藤, 房治",['冊'],,['博士論文']
社会福祉法人京都身体障害者福祉センター30年史 : 輝く未来へ向かって,京都身体障害者福祉センター,['246p ; 26cm'],2000,['図書']
カドミウム環境汚染による健康障害の自然史に関する臨床疫学的研究,"加須屋, 實",['冊'],"1997, 1999",['図書']
放射性物質の人体摂取障害の記録 : 過ちの歴史に何を学ぶか,"松岡, 理, 1929-",['135p ; 21cm'],1995,['図書']
イギリス障害児「義務教育」制度成立史研究,"山口, 洋史, 1940-",['474p ; 22cm'],1993,['図書']
知られざる声 : 障害者の歴史に光を灯した女性たち,"Smith, J. David, 1944-",['255p ; 21cm'],1995,['図書']
身体障害者・高齢者と自動車運転 : その歴史的経緯と現状,国立身体障害者リハビリテーションセンター,['358p ; 26cm'],1994,"['図書', '政府刊行物', '官公庁刊行物']"
全障研三十年史 : 障害者の権利を守り、発達を保障するために,全国障害者問題研究会,['813p ; 22cm'],1997,['図書']
日本盲人史考 : 視力障害者の歴史と伝承 金属と片眼神,"森, 納, 1928-","['629, 21p ; 22cm']",1993,['図書']
スウェーデンの障害児教育改革 : 特別指導の歴史と現状,"Ahlström, Karl-Georg",['267p ; 22cm'],1995,['図書']
視覚障害者(児)の教育・職業・福祉 : その歴史と現状,日本盲人福祉研究会,['156p ; 26cm'],1989,['図書']
ドイツ障害児教育史研究 : 補助学校教育の確立と変容,"荒川, 智, 1957-","['346, 9p ; 22cm']",1990,['図書']
玉野裁判上告趣意書 : 玉野さん無罪は歴史の必然 言語障害者の参政権保障を求めて,玉野ふいさんを守る会,['209p ; 26cm'],1992,['図書']
アメリカ合衆国障害児学校史の研究,"中村, 満紀男, 1945-",['709p ; 22cm'],1987,['図書']
ドキュメント戦後の日本 : 新聞ニュースに見る社会史大事典,国立国会図書館,"['346, 73p ; 31cm']",1995,"['図書', '政府刊行物', '官公庁刊行物']"
障害者教育福祉リハビリテーション目次総覧,"津曲, 裕次, 1936-",['1冊 (頁付なし) ; 22cm'],1991,['図書']
障害者問題史文献目録,,['p81～100 ; 26cm'],1984,['図書']
玉野事件最終意見陳述書 : 玉野さん無罪は歴史の必然 言語障害者の参政権保障を求めて,玉野ふいさんを守る会,['110p ; 26cm'],1991,['図書']
広島の障害者福祉 : 障害者問題史とその実態,"田代, 国次郎, 1935-2014",['81p ; 26cm'],1982,['図書']
19世紀アメリカ障害児学校史の研究,"中村, 満紀男",,,['博士論文']
新たな福祉社会の創生を目指して : 現場・理論・歴史的視座からの発信,"溝口, 元, 1953-",['450p ; 22cm'],2024,['図書']
障害児学への道 : 柳川光章教授退官記念論文集,"柳川, 光章, 1923-",['207p ; 27cm'],1988,['図書']
幼児教育史研究の新地平.,幼児教育史学会,['389p ; 22cm'],2022,['図書']
戦後社会福祉の歴史研究と方法 : 継承・展開・創造 : 社会事業史学会創立50周年記念論文集.,社会事業史学会,"['16, 703 p ; 22 cm']",2022,['図書']
障害児保育論 : その理論と方法 待井和江先生古稀記念論文集,"待井, 和江, 1918-2011",['288p ; 22cm'],1988,['図書']
日本障害児教育学説史研究-1930年代の教育・保育科学理論の検討を中心に,"高橋, 智",['冊'],1988,['図書']
社会運動史研究.,"大野, 光明, 1979-",['237p ; 21cm'],2021,['図書']
発達保障思想の形成 : 障害児教育の史的探究,"清水, 寛, 1936-",['328p ; 20cm'],1981,['図書']
逆光の中の障害者たち : 古代史から現代文学まで,"後藤, 安彦, 1929-2008",['270p ; 19cm'],1982,['図書']
関西・大阪の社会経済問題の歴史と現状,関西大学経済史研究会,['233p ; 21cm'],2020,['図書']
アメリカ初期知能障害児学校史の研究,"津曲, 裕次",['冊'],,['博士論文']
障害者教育の歴史的成立 : ルソー・イタール・セガン・モンテッソーリ,"津田, 道夫, 1929-2014",['178p ; 20cm'],1982,['図書']
羅針盤としての政策史 : 歴史研究からヘルスケア・福祉政策の展望を拓く,"猪飼, 周平",['280p ; 22cm'],2019,['図書']
歴史を未来につなぐ : 「3・11からの歴史学」の射程,歴史学研究会,"['332,2p ; 21cm']",2019,['図書']
ジャーナリズムは歴史の第一稿である。,"瀬川, 至朗, 1954-","['303, 15p ; 19cm']",2018,['図書']
日本聾史研究,日本聾史研究会,['63p ; 26cm'],2018,['図書']
小脳性言語障害の臨床 : その歴史的背景と新しい局在論,"坂井, 春男",['冊'],,['博士論文']
出生前診断受ける受けない誰が決めるの? : 遺伝相談の歴史に学ぶ,"山中, 美智子, 1958-",['242p ; 21cm'],2017,['図書']
犯罪学と精神医学史研究,"影山, 任佐, 1948-",['332p ; 22cm'],2017,['図書']
障害児教育学研究 : 荒川勇教授退官記念論文集,"荒川, 勇, 1918-2005",['331p ; 26cm'],1982,['図書']
日本における心身障害者体育の史的研究,,['22p ; 26cm'],1983,['図書']
むつぼしのひかり.,点字雑誌むつぼしのひかりデータ化研究プロジェクト,['CD-ROM ; 12 cm'],2016,"['雑誌', 'DVD・CD', '電子資料']"
知っておきたい歴史の新常識,歴史科学協議会,['215p ; 21cm'],2017,['図書']
日本における心身障害者体育の史的研究,,['25p ; 26cm'],1984,['図書']
戦後障害児教育史資料,戦後障害児教育史研究会,['40p ; 25cm'],1978,['図書']
人間発達研究の創出と展開 : 田中昌人・田中杉恵の仕事をとおして歴史をつなぐ,"中村, 隆一, 1954-",['275p ; 21cm'],2016,['図書']
刑事法と歴史的価値とその交錯 : 内田博文先生古稀祝賀論文集,"徳田, 靖之, 1944-",['976p ; 22cm'],2016,['図書']
精神疾患者の自分史 : 児童虐待の後遺症・新興宗教二世・アスペルガー,"田上, 光, 1971-",['211 p ; 18 cm'],2022,['図書']
大都市・東京の社会教育 : 歴史と現在,,['573p ; 22cm'],2016,['図書']
日本史学のフロンティア,"荒武, 賢一朗",['310p ; 22cm'],2015,['図書']
精神保健福祉法の最新知識 : 歴史と臨床実務,日本精神科病院協会,['530p ; 21cm'],2015,['図書']
特別支援教育・福祉年史集成,"津曲, 裕次, 1936-",['1冊 ; 27cm'],2015,['図書']
福祉・人権概念の転回と歴史認識の転換 : プロジェクト共同研究,大阪産業大学産業研究所,['130p ; 21cm'],2015,['図書']
犯罪学と精神医学史研究,"影山, 任佐, 1948-",['310p ; 22cm'],2015,['図書']
国語語彙史の研究,国語語彙史研究会,['399p ; 22cm'],2015,['図書']
規制の事前評価書,,,,
歴史をつくった市民たち : 語り下ろし市民活動,大阪ボランティア協会,['247p ; 21cm'],2014,['図書']
民事法学の歴史と未来 : 田山輝明先生古稀記念論文集,"五十嵐, 敬喜, 1944-",['708p ; 22cm'],2014,['図書']
常設展示,,,,
特別支援・特別ニーズ教育の源流 : 鈴木治太郎の教育改革と適能教育論,"高橋, 智, 1954-",['407p ; 22cm'],2010,['図書']
話しことばの原理と教育 : 言調聴覚法の理論,"Guberina, Petar, 1913-2005",['228p ; 19cm'],1981,['図書']
戦後障害児教育史研究;その思潮・制度・方法の総合的通史研究(2),"荒川, 勇",['冊'],1978,['図書']
世界教育史大系,"梅根, 悟, 1903-1980",['398p ; 21cm'],1974,['図書']
戦後における神奈川県内精神薄弱特殊学級の変遷,"榎田, 洋一",['82p ; 25cm'],1978,['図書']
講座日本の教育,,['287p ; 20cm'],1976,['図書']
歴史と戦略の本質 : 歴史の英知に学ぶ軍事文化,"Murray, Williamson",['250p ; 20cm'],2011,['図書']
歴史教育から「社会科」へ : 現場からの問い,"君島, 和彦, 1945-",['290p ; 21cm'],2011,['図書']
聴覚障害教育に尽した古谷史映追憶,"始閣, 精太郎, 1924-",['101p ; 21cm'],1972,['図書']
アイドルちん ちんプレー好プレー続出ちんこのBOXでは、中野腐女ちんもももクロちんもトマパイちんもグラドルちんも大暴れ!! : 史上最高のアイドルガちんコ大戦の全記憶!!,,['ビデオディスク 3枚 (240分) : DVD + 1冊'],2011,"['映像資料', 'DVD']"
フロイト全集,"Freud, Sigmund, 1856-1939",['439p ; 22cm + 16p'],2010,['図書']
講座心身障害児の教育,"鈴木, 清, 1906-1982",['5冊 ; 22cm'],1973,['図書']
部落史研究からの発信,"友永, 健三, 1944-",['354p ; 21cm'],2009,['図書']
ドイツ近現代ジェンダー史入門,"姫岡, とし子, 1950-","['297, 31p ; 22cm']",2009,['図書']
教育学における優生思想の展開 : 歴史と展望,"藤川, 信夫, 1961-",['479p ; 22cm'],2008,['図書']
音楽の思想と教育,"河口, 道朗, 1936-",['321p ; 21cm'],2005,['図書']
植原悦二郎集,"植原, 悦二郎, 1877-1962","['363, 7p ; 20cm']",2005,['図書']
[004]障害史研究表紙奥付等,,,2023-03-13,
北海道の歴史と文化 : その視点と展開 : 北海道史研究協議会創立四十周年記念論集,北海道史研究協議会,['541p ; 22cm'],2006,['図書']
[003]障害史研究表紙奥付等,,,2022-03-25,
[002]障害史研究表紙奥付等,,,2021-03-25,
"無名の人石井筆子 : ""近代""を問い歴史に埋もれた女性の生涯","石井, 筆子, 1861-1944",['189p ; 21cm'],2004,['図書']
[001]障害史研究表紙奥付等,,,2020-03-25,
キリスト教福祉実践の史的展開,"杉山, 博昭, 1962-",['355p ; 22cm'],2003,['図書']
文化財と歴史学,奈良文化財研究所,['750p ; 27cm'],2003,"['図書', '政府刊行物', '官公庁刊行物']"
障害児教育史研究　：　史料と論究,障害児教育史研究会,"['105p', '21cm']",2021-10,['図書']
第3章　イスラーム思想における障害の歴史的分析,"小村, 優太",,2023,['図書']
むつぼしのひかり : 墨字訳 : 視覚障害者による視覚障害者のための明治の点字総合雑誌,点字雑誌『むつぼしのひかり』データ化・研究プロジェクト,['220p ; 30cm'],2019,['図書']
講和 より巨いなる山の動く日 : 障害者問題の歴史と展望,清水 寛,['205-442P ; 21cm'],2023,['図書']
講和 より巨いなる山の動く日 : 障害者問題の歴史と展望,清水 寛,['204P ; 21cm'],2023,['図書']
講和 より巨いなる山の動く日 : 障害者問題の歴史と展望,清水 寛,['443-606P ; 21cm'],2023,['図書']
障害児教育史研究 : 史料と論究,障害児教育史研究会,['21cm'],2018,['図書']
むつぼしのひかり : 墨字訳 : 視覚障害者による視覚障害者のための明治の点字総合雑誌,点字雑誌『むつぼしのひかり』データ化・研究プロジェクト,['155p ; 30cm'],2017,['図書']
